year,city,avg_temp
1820,Austin,18.83
1821,Austin,20.75
1822,Austin,25.48
1823,Austin,19.34
1824,Austin,19.90
1825,Austin,20.15
1826,Austin,19.87
1827,Austin,20.52
1828,Austin,20.02
1829,Austin,19.71
1830,Austin,20.39
1831,Austin,18.96
1832,Austin,19.55
1833,Austin,20.03
1834,Austin,20.22
1835,Austin,18.35
1836,Austin,18.75
1837,Austin,19.34
1838,Austin,18.52
1839,Austin,19.38
1840,Austin,19.50
1841,Austin,19.54
1842,Austin,19.81
1843,Austin,19.56
1844,Austin,19.69
1845,Austin,19.43
1846,Austin,20.00
1847,Austin,19.15
1848,Austin,19.38
1849,Austin,19.96
1850,Austin,19.77
1851,Austin,19.86
1852,Austin,19.60
1853,Austin,18.96
1854,Austin,19.53
1855,Austin,19.23
1856,Austin,19.03
1857,Austin,19.47
1858,Austin,19.68
1859,Austin,20.01
1860,Austin,19.99
1861,Austin,20.30
1862,Austin,20.26
1863,Austin,19.83
1864,Austin,19.40
1865,Austin,19.87
1866,Austin,19.82
1867,Austin,20.62
1868,Austin,19.67
1869,Austin,19.24
1870,Austin,19.91
1871,Austin,20.24
1872,Austin,19.52
1873,Austin,19.44
1874,Austin,20.15
1875,Austin,19.59
1876,Austin,19.63
1877,Austin,19.38
1878,Austin,19.72
1879,Austin,20.35
1880,Austin,19.41
1881,Austin,19.81
1882,Austin,19.90
1883,Austin,19.85
1884,Austin,19.64
1885,Austin,19.26
1886,Austin,19.25
1887,Austin,19.74
1888,Austin,19.14
1889,Austin,19.29
1890,Austin,20.17
1891,Austin,19.36
1892,Austin,19.65
1893,Austin,19.94
1894,Austin,20.02
1895,Austin,19.02
1896,Austin,20.23
1897,Austin,20.02
1898,Austin,19.51
1899,Austin,19.50
1900,Austin,19.64
1901,Austin,19.73
1902,Austin,20.38
1903,Austin,18.58
1904,Austin,19.85
1905,Austin,19.28
1906,Austin,19.60
1907,Austin,20.63
1908,Austin,20.33
1909,Austin,20.54
1910,Austin,20.23
1911,Austin,20.57
1912,Austin,19.20
1913,Austin,19.12
1914,Austin,19.19
1915,Austin,19.85
1916,Austin,20.50
1917,Austin,19.88
1918,Austin,19.92
1919,Austin,19.08
1920,Austin,19.56
1921,Austin,20.91
1922,Austin,20.37
1923,Austin,20.10
1924,Austin,19.37
1925,Austin,20.51
1926,Austin,19.65
1927,Austin,21.23
1928,Austin,19.98
1929,Austin,19.69
1930,Austin,19.53
1931,Austin,20.17
1932,Austin,19.78
1933,Austin,21.39
1934,Austin,20.91
1935,Austin,20.35
1936,Austin,19.35
1937,Austin,19.96
1938,Austin,20.65
1939,Austin,20.67
1940,Austin,19.31
1941,Austin,19.94
1942,Austin,19.81
1943,Austin,20.03
1944,Austin,19.86
1945,Austin,20.47
1946,Austin,20.37
1947,Austin,19.82
1948,Austin,20.32
1949,Austin,20.23
1950,Austin,20.74
1951,Austin,20.76
1952,Austin,20.06
1953,Austin,20.61
1954,Austin,21.37
1955,Austin,20.72
1956,Austin,20.93
1957,Austin,20.18
1958,Austin,19.39
1959,Austin,19.52
1960,Austin,19.47
1961,Austin,19.66
1962,Austin,20.55
1963,Austin,20.47
1964,Austin,20.20
1965,Austin,20.23
1966,Austin,19.58
1967,Austin,20.34
1968,Austin,19.15
1969,Austin,19.95
1970,Austin,19.55
1971,Austin,20.82
1972,Austin,20.10
1973,Austin,19.66
1974,Austin,19.93
1975,Austin,19.93
1976,Austin,19.04
1977,Austin,20.30
1978,Austin,19.55
1979,Austin,19.14
1980,Austin,20.30
1981,Austin,20.32
1982,Austin,20.39
1983,Austin,19.20
1984,Austin,20.62
1985,Austin,20.07
1986,Austin,20.56
1987,Austin,19.73
1988,Austin,20.28
1989,Austin,19.99
1990,Austin,20.93
1991,Austin,20.22
1992,Austin,20.07
1993,Austin,19.72
1994,Austin,20.50
1995,Austin,20.35
1996,Austin,20.78
1997,Austin,19.73
1998,Austin,21.35
1999,Austin,21.35
2000,Austin,21.12
2001,Austin,20.35
2002,Austin,20.30
2003,Austin,20.37
2004,Austin,20.45
2005,Austin,20.90
2006,Austin,21.56
2007,Austin,19.98
2008,Austin,20.91
2009,Austin,21.06
2010,Austin,20.10
2011,Austin,21.66
2012,Austin,21.56
2013,Austin,22.18
